Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Valor,SEXE,EDAT_1
2023-01-01,1,Ciutat Vella,1,el Raval,1,11,1,0
2023-01-01,1,Ciutat Vella,1,el Raval,1,12,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,15,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,1,3
2023-01-01,1,Ciutat Vella,1,el Raval,1,10,1,4
2023-01-01,1,Ciutat Vella,1,el Raval,1,11,1,5
2023-01-01,1,Ciutat Vella,1,el Raval,1,5,1,6
2023-01-01,1,Ciutat Vella,1,el Raval,1,10,1,7
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,1,8
2023-01-01,1,Ciutat Vella,1,el Raval,1,10,1,9
2023-01-01,1,Ciutat Vella,1,el Raval,1,13,1,10
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,1,11
2023-01-01,1,Ciutat Vella,1,el Raval,1,7,1,12
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,1,13
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,14
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,1,15
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,1,16
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,1,17
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,1,18
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,1,19
2023-01-01,1,Ciutat Vella,1,el Raval,1,10,1,20
2023-01-01,1,Ciutat Vella,1,el Raval,1,18,1,21
2023-01-01,1,Ciutat Vella,1,el Raval,1,21,1,22
2023-01-01,1,Ciutat Vella,1,el Raval,1,35,1,23
2023-01-01,1,Ciutat Vella,1,el Raval,1,17,1,24
2023-01-01,1,Ciutat Vella,1,el Raval,1,29,1,25
2023-01-01,1,Ciutat Vella,1,el Raval,1,24,1,26
2023-01-01,1,Ciutat Vella,1,el Raval,1,32,1,27
2023-01-01,1,Ciutat Vella,1,el Raval,1,27,1,28
2023-01-01,1,Ciutat Vella,1,el Raval,1,26,1,29
2023-01-01,1,Ciutat Vella,1,el Raval,1,29,1,30
2023-01-01,1,Ciutat Vella,1,el Raval,1,21,1,31
2023-01-01,1,Ciutat Vella,1,el Raval,1,27,1,32
2023-01-01,1,Ciutat Vella,1,el Raval,1,27,1,33
2023-01-01,1,Ciutat Vella,1,el Raval,1,24,1,34
2023-01-01,1,Ciutat Vella,1,el Raval,1,29,1,35
2023-01-01,1,Ciutat Vella,1,el Raval,1,18,1,36
2023-01-01,1,Ciutat Vella,1,el Raval,1,22,1,37
2023-01-01,1,Ciutat Vella,1,el Raval,1,16,1,38
2023-01-01,1,Ciutat Vella,1,el Raval,1,17,1,39
2023-01-01,1,Ciutat Vella,1,el Raval,1,16,1,40
2023-01-01,1,Ciutat Vella,1,el Raval,1,16,1,41
2023-01-01,1,Ciutat Vella,1,el Raval,1,14,1,42
2023-01-01,1,Ciutat Vella,1,el Raval,1,17,1,43
2023-01-01,1,Ciutat Vella,1,el Raval,1,18,1,44
2023-01-01,1,Ciutat Vella,1,el Raval,1,11,1,45
2023-01-01,1,Ciutat Vella,1,el Raval,1,15,1,46
2023-01-01,1,Ciutat Vella,1,el Raval,1,23,1,47
2023-01-01,1,Ciutat Vella,1,el Raval,1,12,1,48
2023-01-01,1,Ciutat Vella,1,el Raval,1,18,1,49
2023-01-01,1,Ciutat Vella,1,el Raval,1,14,1,50
2023-01-01,1,Ciutat Vella,1,el Raval,1,10,1,51
2023-01-01,1,Ciutat Vella,1,el Raval,1,19,1,52
2023-01-01,1,Ciutat Vella,1,el Raval,1,11,1,53
2023-01-01,1,Ciutat Vella,1,el Raval,1,14,1,54
2023-01-01,1,Ciutat Vella,1,el Raval,1,12,1,55
2023-01-01,1,Ciutat Vella,1,el Raval,1,13,1,56
2023-01-01,1,Ciutat Vella,1,el Raval,1,16,1,57
2023-01-01,1,Ciutat Vella,1,el Raval,1,14,1,58
2023-01-01,1,Ciutat Vella,1,el Raval,1,14,1,59
2023-01-01,1,Ciutat Vella,1,el Raval,1,13,1,60
2023-01-01,1,Ciutat Vella,1,el Raval,1,11,1,61
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,62
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,1,63
2023-01-01,1,Ciutat Vella,1,el Raval,1,7,1,64
2023-01-01,1,Ciutat Vella,1,el Raval,1,10,1,65
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,66
2023-01-01,1,Ciutat Vella,1,el Raval,1,11,1,67
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,1,68
2023-01-01,1,Ciutat Vella,1,el Raval,1,11,1,69
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,1,70
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,1,71
2023-01-01,1,Ciutat Vella,1,el Raval,1,7,1,72
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,1,73
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,1,74
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,75
2023-01-01,1,Ciutat Vella,1,el Raval,1,7,1,76
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,1,77
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,1,78
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,1,79
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,1,80
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,1,81
2023-01-01,1,Ciutat Vella,1,el Raval,1,11,1,82
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,83
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,1,84
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,1,85
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,1,86
2023-01-01,1,Ciutat Vella,1,el Raval,1,5,1,87
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,88
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,1,89
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,1,90
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,91
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,1,92
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,93
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,94
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,96
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,97
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,98
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,99
2023-01-01,1,Ciutat Vella,1,el Raval,1,5,1,100
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,2,0
2023-01-01,1,Ciutat Vella,1,el Raval,1,13,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,2,3
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,2,4
2023-01-01,1,Ciutat Vella,1,el Raval,1,11,2,5
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,6
2023-01-01,1,Ciutat Vella,1,el Raval,1,10,2,7
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,2,8
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,2,9
2023-01-01,1,Ciutat Vella,1,el Raval,1,7,2,10
2023-01-01,1,Ciutat Vella,1,el Raval,1,5,2,11
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,2,12
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,2,13
2023-01-01,1,Ciutat Vella,1,el Raval,1,5,2,14
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,15
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,2,16
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,17
